number,TeacherID,speaker,utterance,ut,rc,RP_best_dim_1,RP_best_dim_2,conversation_id,KMeans_Cluster,EM_Cluster
1,3026,T,Ok. So you’re going to be talking about - we’re going to be talking about speed. So what is speed?,Q,SK,2.529937172,-3.225196215,1,4,5
2,3026,T,"You all should probably be able to tell me that without even having to look at your book because you speed to school every day, right? ",P,EX,4.65900066,-0.280861647,1,4,5
3,3026,S,Nope. No. ,Ry,EX,1.626218068,4.556267238,2,0,3
4,3026,T,You don’t? Don’t you all ride the school bus? ,Q,EX,-2.877044694,-4.03449342,3,1,18
5,3026,S,Yes. No. ,Ry,EX,-5.109257114,-2.309483642,4,7,6
6,3026,T,Is speed involved in getting to school? ,Q,EX,3.881225492,2.104914438,5,0,25
7,3026,S,Yeah. ,Ry,EX,1.009787533,0.650915569,6,2,28
8,3026,T,"Yeah, what is speed? ",Q,SK,2.792043494,-0.843918728,7,4,5
9,3026,S,Movement. ,Rs,SK,-2.890257204,1.13652054,8,3,27
10,3026,T,"It’s movement, ok, ",Fy,SK,-3.790961487,1.504253351,9,3,24
11,3026,T,and what two things do we use to calculate speed? ,Q,SK,-1.447978226,-1.559981627,9,3,24
12,3026,S,Distance traveling over time. ,Rs,SK,1.114805154,0.255342913,10,2,28
13,3026,T,Distance traveled over…,Fq,SK,-5.270294757,-0.793082765,11,7,6
14,3026,S,Time. ,Rs,SK,1.921475255,1.475687562,12,0,5
15,3026,T,Time. ,Fy,SK,1.921475255,1.475687562,13,2,17
16,3026,T,"It’s how far you’re going, and how long did it take you to go that far, ok? ",E,SK,-1.24146346,-3.004270578,13,2,17
17,3026,T,"So if I’m driving to Houston to see my sister and I drive 50 - let’s say I drive 100 miles in two hours, ok? ",E,EX,-0.425713148,-1.470343563,13,2,17
18,3026,T,"I can look at that and I can break it down into how many miles was I going per hour, probably. ",E,OD,1.364870312,2.688968254,13,2,17
19,3026,T,"If I went - if I made it 100 miles in two hours, think about it.",E,OD,-1.852654414,-2.124595044,13,2,17
20,3026,T,"If I drove 200 - If I drove 100 miles and I did it in two hours, how many miles did I go each hour? ",Q,OD,-0.424448731,3.578617375,13,2,17
21,3026,S,50,Rs,OD,4.274090795,-2.195333964,14,4,0
22,3026,T,"I did 50, right? ",Fy,OD,2.206806149,0.204025766,15,2,28
23,3026,T,"I threw you a curve in there; I said two hours. So we normally know speed as miles per what, guys? ",Q,SK,-1.021273686,2.039106552,15,2,28
24,3026,S,Hour. ,Rs,SK,-1.070393721,6.202726475,16,5,8
25,3026,T,Hour. Miles per hour. ,Fy,SK,-1.511518411,9.287428663,17,0,22
26,3026,T,"We’re just trying to calculate how much distance can you travel in a certain amount of time, ok? ",E,PD,1.941512321,1.131266045,17,0,22
27,3026,T,"So of course, the farther you go in the less time it faster or slower? ",Q,PD,-0.395071484,-1.445790235,17,0,22
28,3026,S,Faster. ,Rs,PD,1.921475257,1.475687563,18,0,5
29,3026,T,"Faster, right?  It would go faster. ",Fy,PD,2.976285057,2.196870298,19,4,5
30,3026,T,Or the less distance you cover in the same amount you’re probably going… ,Fq,PD,1.770230412,-3.223945853,19,4,5
31,3026,S,Slower.   ,Rs,PD,-0.802580494,-1.738606967,20,1,2
32,3026,T,"Slower, so speed is all about that distance and time relationship. ",Fs,MT,2.079879316,0.64602956,21,2,28
33,3026,T,"And we’re going to talk about average speed vs. instantaneous speed, ok? ",P,SK,4.205956656,-1.261103899,21,2,28
34,3026,T,"If I did drive to Houston and I took an average speed, what does average mean? ",Q,SK,0.035297942,0.098309516,21,2,28
35,3026,T,You all just did this on your test. ,P,,0.41079135,1.353388605,21,2,28
36,3026,T,What does average mean? ,Q,SK,-0.001942435,0.087478282,21,2,28
37,3026,T,"If I take an average of anything, what am I doing? ",Q,SK,2.697420174,1.139191319,21,2,28
38,3026,S,Taking…,Rs,SK,-1.801484554,-2.407367216,22,1,12
39,3026,T,Raise your hand. Jason? ,P,SK,2.797393445,-0.180919978,23,4,10
40,3026,S,"Oh, oh, like you total it up… ",Rs,SK,-3.039270339,1.8376388,24,3,27
41,3026,T,"Yeah, I’m totaling up what? A list of what? ",Fq,SK,1.60875347,0.959712304,25,0,28
42,3026,S,The speeds. ,Rs,SK,-0.064009735,0.069426213,26,2,17
43,3026,T,Correct.,Fy,SK,-2.890257204,1.13652054,27,2,28
44,3026,T,"I’m dividing it by how many different speeds I went, ok?  ",E,OD,0.182935562,-0.585369797,27,2,28
45,3026,T,"Because I started biking, and I can bike around White Rock Lake  ",E,OD,1.865453156,1.09205376,27,2,28
46,3026,T,and sometimes I’m going 15 miles an hour; ,E,OD,1.069179556,6.321537318,27,2,28
47,3026,T,"it depends if I’m going down a hill or not, ",E,OD,-0.00194242,0.087478271,27,2,28
48,3026,T,but at the end of my trip I look at my average speed and it might tell me I went an average of 10 MPH. ,E,OD,3.74671636,1.541325583,27,2,28
49,3026,T,So that means it takes all my speeds and it’s going to average it all together. ,E,OD,3.4188113,1.415658626,27,2,28
50,3026,T,"So on the average I did about 10 MPH even though at some points I may have gone faster or slower, right? ",E,OD,0.417955736,-1.553298107,27,2,28
51,3026,T,Are you going to go the same speed as you drive to school?   ,Q,PD,3.656764022,-2.602603337,27,2,28
52,3026,T,What do you do between? ,Q,PD,-0.188144341,0.033322097,27,2,28
53,3026,S,Stop. Go. ,Rs,PD,-0.316827448,-0.781163471,28,2,26
54,3026,T,"Stop, at a stop light, and then what do you do? ",Fq,OD,-0.381168998,-1.188406255,29,2,26
55,3026,S,Go. ,Rs,OD,-0.188144341,0.033322097,30,2,17
56,3026,T,"You go, and as you start leaving the stop light what do you do? ",Fq,OD,-8.06192477,-3.715167084,31,1,12
