number,TeacherID,speaker,utterance,ut,rc,conversation_id,KMeans_Cluster,EM_Cluster
1,3026,T,Ok. So you’re going to be talking about - we’re going to be talking about speed. So what is speed?,Q,SK,1,4,23
2,3026,T,"You all should probably be able to tell me that without even having to look at your book because you speed to school every day, right? ",P,EX,1,4,23
3,3026,S,Nope. No. ,Ry,EX,2,19,19
4,3026,T,You don’t? Don’t you all ride the school bus? ,Q,EX,3,9,8
5,3026,S,Yes. No. ,Ry,EX,4,5,4
6,3026,T,Is speed involved in getting to school? ,Q,EX,5,5,4
7,3026,S,Yeah. ,Ry,EX,6,2,15
8,3026,T,"Yeah, what is speed? ",Q,SK,7,2,15
9,3026,S,Movement. ,Rs,SK,8,6,3
10,3026,T,"It’s movement, ok, ",Fy,SK,9,14,14
11,3026,T,and what two things do we use to calculate speed? ,Q,SK,9,14,14
12,3026,S,Distance traveling over time. ,Rs,SK,10,5,20
13,3026,T,Distance traveled over…,Fq,SK,11,16,16
14,3026,S,Time. ,Rs,SK,12,3,0
15,3026,T,Time. ,Fy,SK,13,3,24
16,3026,T,"It’s how far you’re going, and how long did it take you to go that far, ok? ",E,SK,13,3,24
17,3026,T,"So if I’m driving to Houston to see my sister and I drive 50 - let’s say I drive 100 miles in two hours, ok? ",E,EX,13,3,24
18,3026,T,"I can look at that and I can break it down into how many miles was I going per hour, probably. ",E,OD,13,3,24
19,3026,T,"If I went - if I made it 100 miles in two hours, think about it.",E,OD,13,3,24
20,3026,T,"If I drove 200 - If I drove 100 miles and I did it in two hours, how many miles did I go each hour? ",Q,OD,13,3,24
21,3026,S,50,Rs,OD,14,6,3
22,3026,T,"I did 50, right? ",Fy,OD,15,7,6
23,3026,T,"I threw you a curve in there; I said two hours. So we normally know speed as miles per what, guys? ",Q,SK,15,7,6
24,3026,S,Hour. ,Rs,SK,16,6,3
25,3026,T,Hour. Miles per hour. ,Fy,SK,17,12,9
26,3026,T,"We’re just trying to calculate how much distance can you travel in a certain amount of time, ok? ",E,PD,17,12,9
27,3026,T,"So of course, the farther you go in the less time it faster or slower? ",Q,PD,17,12,9
28,3026,S,Faster. ,Rs,PD,18,16,16
29,3026,T,"Faster, right?  It would go faster. ",Fy,PD,19,4,23
30,3026,T,Or the less distance you cover in the same amount you’re probably going… ,Fq,PD,19,4,23
