number,TeacherID,speaker,utterance,ut,rc,PCA_best_dim_1,PCA_best_dim_2,PCA_best_dim_3,PCA_best_dim_4,PCA_best_dim_5,PCA_best_dim_6,PCA_best_dim_7,PCA_best_dim_8,PCA_best_dim_9,PCA_best_dim_10,PCA_best_dim_11,PCA_best_dim_12,PCA_best_dim_13,PCA_best_dim_14,PCA_best_dim_15,PCA_best_dim_16,PCA_best_dim_17
1,3026,T,Ok. So you’re going to be talking about - we’re going to be talking about speed. So what is speed?,Q,SK,0.160469037,1.205936096,-0.886374741,-1.477084035,-0.442930385,-1.02914028,0.013783701,0.011719406,0.413946909,-0.914780937,-0.705591799,-0.290140074,0.027239146,0.07605987,0.43486169,-1.236397243,0.357440284
2,3026,T,"You all should probably be able to tell me that without even having to look at your book because you speed to school every day, right? ",P,EX,2.202307701,0.158412537,-0.22164743,-0.323871158,0.155653662,-0.123435025,-0.22124861,0.222667696,-0.063781722,-0.561478443,0.442522106,-0.05638974,0.058869635,-0.61886862,-0.508904593,-1.455017076,1.400459472
3,3026,S,Nope. No. ,Ry,EX,-0.761358265,0.24284094,-0.200389016,-0.634425405,-0.045026563,1.059398584,1.221496357,2.114755945,-0.718202238,0.516393095,-0.361918262,0.768888546,-0.572830162,-1.259769719,-1.006833212,0.090154563,-0.409942419
4,3026,T,You don’t? Don’t you all ride the school bus? ,Q,EX,1.848160871,-1.419231571,-0.347030538,-0.975497496,-1.589901606,1.700782267,-1.334119678,0.049837687,-1.406117765,-0.537095634,-1.448022426,-1.118048338,0.636728315,1.173205608,0.08961688,1.489382548,-2.156458298
5,3026,S,Yes. No. ,Ry,EX,-1.021058104,-0.393955553,-0.576863912,-0.397699947,-0.933136803,0.006819516,-0.170675416,-1.42341948,0.758887452,0.670249491,2.015921813,-0.069377347,0.570530869,-1.019886349,-1.402696973,0.043172625,-1.061596414
6,3026,T,Is speed involved in getting to school? ,Q,EX,0.213080868,1.504850128,-0.317342559,-0.813516254,-0.184842335,0.297645875,0.768121892,1.862762337,-0.473799453,-0.031783062,-0.474189712,0.641720043,-0.347501609,-1.079165022,-0.978741574,-0.561671752,-0.216510631
7,3026,S,Yeah. ,Ry,EX,-0.198212465,1.079729514,-0.506658536,0.060662842,-0.692931556,0.03286418,-1.217426774,0.442274337,-0.366166597,2.780650851,0.23714553,-0.801701747,-0.579061267,0.359604063,0.33859571,0.499467411,0.554805113
8,3026,T,"Yeah, what is speed? ",Q,SK,0.533261016,1.817886525,-0.456778145,-0.204453209,-0.588618211,-0.403214812,-0.967144953,0.425954124,-0.13681193,1.503559304,0.018731018,-0.503530357,-0.308559544,0.191415342,0.092638292,-0.150613783,0.461666052
9,3026,S,Movement. ,Rs,SK,-0.331865684,-0.53842234,-0.90126104,1.72905037,0.837602961,-0.446334624,-0.445882205,0.339356789,0.254421579,-0.028475181,-0.222968967,-0.170999394,-1.010217706,0.688194388,-0.313192645,-0.895140664,-1.145675513
10,3026,T,"It’s movement, ok, ",Fy,SK,-0.403013766,-0.729734527,-1.225388719,2.285230814,1.122096488,-0.66131929,-0.631914052,0.475195889,0.292567728,-0.079046942,-0.326318455,-0.245525462,-1.31731534,0.895318504,-0.440197504,-1.282662437,-1.525420463
