number,TeacherID,speaker,utterance,ut,rc,UMAP_best_dim_1,UMAP_best_dim_2
1,3026,T,Ok. So you’re going to be talking about - we’re going to be talking about speed. So what is speed?,Q,SK,-8.206182,10.173935
2,3026,T,"You all should probably be able to tell me that without even having to look at your book because you speed to school every day, right? ",P,EX,-16.449642,8.487644
3,3026,S,Nope. No. ,Ry,EX,9.660592,7.1107316
4,3026,T,You don’t? Don’t you all ride the school bus? ,Q,EX,0.69565123,4.665957
5,3026,S,Yes. No. ,Ry,EX,-8.275572,21.108328
6,3026,T,Is speed involved in getting to school? ,Q,EX,9.618178,7.1793213
7,3026,S,Yeah. ,Ry,EX,1.6520932,-4.9817104
8,3026,T,"Yeah, what is speed? ",Q,SK,1.5759028,-4.7864246
9,3026,S,Movement. ,Rs,SK,6.253737,-20.345173
10,3026,T,"It’s movement, ok, ",Fy,SK,18.907024,-4.566284
11,3026,T,and what two things do we use to calculate speed? ,Q,SK,-1.933106,-0.15128523
12,3026,S,Distance traveling over time. ,Rs,SK,-16.64089,8.27219
13,3026,T,Distance traveled over…,Fq,SK,-8.217188,21.12227
14,3026,S,Time. ,Rs,SK,-16.80088,8.525022
15,3026,T,Time. ,Fy,SK,-16.78409,8.502906
16,3026,T,"It’s how far you’re going, and how long did it take you to go that far, ok? ",E,SK,4.8452187,16.595734
17,3026,T,"So if I’m driving to Houston to see my sister and I drive 50 - let’s say I drive 100 miles in two hours, ok? ",E,EX,-5.9091606,3.0720425
18,3026,T,"I can look at that and I can break it down into how many miles was I going per hour, probably. ",E,OD,-8.185125,12.900214
19,3026,T,"If I went - if I made it 100 miles in two hours, think about it.",E,OD,-4.907349,-17.63538
20,3026,T,"If I drove 200 - If I drove 100 miles and I did it in two hours, how many miles did I go each hour? ",Q,OD,-10.855861,-9.654511
21,3026,S,50,Rs,OD,-7.305585,-6.765693
22,3026,T,"I did 50, right? ",Fy,OD,-7.552547,-6.9539447
23,3026,T,"I threw you a curve in there; I said two hours. So we normally know speed as miles per what, guys? ",Q,SK,-7.836923,8.40057
24,3026,S,Hour. ,Rs,SK,-8.235512,13.681264
25,3026,T,Hour. Miles per hour. ,Fy,SK,-8.258741,14.159518
26,3026,T,"We’re just trying to calculate how much distance can you travel in a certain amount of time, ok? ",E,PD,1.0884897,-5.578257
27,3026,T,"So of course, the farther you go in the less time it faster or slower? ",Q,PD,1.6892854,2.7771945
28,3026,S,Faster. ,Rs,PD,-16.762573,8.519814
29,3026,T,"Faster, right?  It would go faster. ",Fy,PD,-14.812909,-17.778492
30,3026,T,Or the less distance you cover in the same amount you’re probably going… ,Fq,PD,-0.3152208,-10.9343
31,3026,S,Slower.   ,Rs,PD,-5.5741396,14.791251
32,3026,T,"Slower, so speed is all about that distance and time relationship. ",Fs,MT,-16.422888,8.514012
33,3026,T,"And we’re going to talk about average speed vs. instantaneous speed, ok? ",P,SK,-7.9769726,9.991639
34,3026,T,"If I did drive to Houston and I took an average speed, what does average mean? ",Q,SK,11.433173,-5.584736
35,3026,T,You all just did this on your test. ,P,,8.690562,-7.875202
36,3026,T,What does average mean? ,Q,SK,11.698537,-5.863278
37,3026,T,"If I take an average of anything, what am I doing? ",Q,SK,-4.115552,-10.904875
38,3026,S,Taking…,Rs,SK,1.7247568,2.3470247
39,3026,T,Raise your hand. Jason? ,P,SK,-7.1694937,0.36262092
40,3026,S,"Oh, oh, like you total it up… ",Rs,SK,8.6368475,-6.8726616
41,3026,T,"Yeah, I’m totaling up what? A list of what? ",Fq,SK,1.203712,-5.4672236
42,3026,S,The speeds. ,Rs,SK,11.661907,-6.003992
43,3026,T,Correct.,Fy,SK,6.150177,-20.245928
44,3026,T,"I’m dividing it by how many different speeds I went, ok?  ",E,OD,-2.070091,-0.004722779
45,3026,T,"Because I started biking, and I can bike around White Rock Lake  ",E,OD,1.043723,-5.6239204
46,3026,T,and sometimes I’m going 15 miles an hour; ,E,OD,-8.230823,13.568845
47,3026,T,"it depends if I’m going down a hill or not, ",E,OD,11.706209,-5.9067116
48,3026,T,but at the end of my trip I look at my average speed and it might tell me I went an average of 10 MPH. ,E,OD,-3.7858183,-11.242731
49,3026,T,So that means it takes all my speeds and it’s going to average it all together. ,E,OD,-3.7865434,-11.241307
50,3026,T,"So on the average I did about 10 MPH even though at some points I may have gone faster or slower, right? ",E,OD,-5.599099,14.8030615
51,3026,T,Are you going to go the same speed as you drive to school?   ,Q,PD,-7.673718,9.721019
52,3026,T,What do you do between? ,Q,PD,-11.129359,-9.873672
53,3026,S,Stop. Go. ,Rs,PD,-6.404814,2.4724827
54,3026,T,"Stop, at a stop light, and then what do you do? ",Fq,OD,-6.1304145,2.82925
55,3026,S,Go. ,Rs,OD,-11.214396,-9.902766
56,3026,T,"You go, and as you start leaving the stop light what do you do? ",Fq,OD,-6.740099,19.55189
57,3026,T,As you leave you get a little what?,Q,OD,-7.711944,0.07670587
58,3026,S,Faster. ,Rs,OD,-16.912987,8.653384
59,3026,T,You go a little faster. ,Fs,OD,-7.8653727,0.28770232
