number,TeacherID,speaker,utterance,ut,rc,UMAP_best_dim_1,UMAP_best_dim_2,conversation_id,KMeans_Cluster,EM_Cluster
1,3026,T,Ok. So you’re going to be talking about - we’re going to be talking about speed. So what is speed?,Q,SK,-8.206182,10.173935,1,21,21
2,3026,T,"You all should probably be able to tell me that without even having to look at your book because you speed to school every day, right? ",P,EX,-16.449642,8.487644,1,21,21
3,3026,S,Nope. No. ,Ry,EX,9.660592,7.1107316,2,12,12
4,3026,T,You don’t? Don’t you all ride the school bus? ,Q,EX,0.69565123,4.665957,3,3,3
5,3026,S,Yes. No. ,Ry,EX,-8.275572,21.108328,4,5,5
6,3026,T,Is speed involved in getting to school? ,Q,EX,9.618178,7.1793213,5,12,12
7,3026,S,Yeah. ,Ry,EX,1.6520932,-4.9817104,6,17,17
8,3026,T,"Yeah, what is speed? ",Q,SK,1.5759028,-4.7864246,7,17,17
9,3026,S,Movement. ,Rs,SK,6.253737,-20.345173,8,8,8
10,3026,T,"It’s movement, ok, ",Fy,SK,18.907024,-4.566284,9,7,7
11,3026,T,and what two things do we use to calculate speed? ,Q,SK,-1.933106,-0.15128523,9,7,7
12,3026,S,Distance traveling over time. ,Rs,SK,-16.64089,8.27219,10,6,6
13,3026,T,Distance traveled over…,Fq,SK,-8.217188,21.12227,11,5,5
14,3026,S,Time. ,Rs,SK,-16.80088,8.525022,12,6,6
15,3026,T,Time. ,Fy,SK,-16.78409,8.502906,13,26,26
16,3026,T,"It’s how far you’re going, and how long did it take you to go that far, ok? ",E,SK,4.8452187,16.595734,13,26,26
17,3026,T,"So if I’m driving to Houston to see my sister and I drive 50 - let’s say I drive 100 miles in two hours, ok? ",E,EX,-5.9091606,3.0720425,13,26,26
18,3026,T,"I can look at that and I can break it down into how many miles was I going per hour, probably. ",E,OD,-8.185125,12.900214,13,26,26
19,3026,T,"If I went - if I made it 100 miles in two hours, think about it.",E,OD,-4.907349,-17.63538,13,26,26
