number,TeacherID,speaker,utterance,ut,rc,ICA_best_dim_1,ICA_best_dim_2,ICA_best_dim_3,ICA_best_dim_4,ICA_best_dim_5,ICA_best_dim_6,ICA_best_dim_7,ICA_best_dim_8,ICA_best_dim_9,ICA_best_dim_10,ICA_best_dim_11,ICA_best_dim_12,ICA_best_dim_13,ICA_best_dim_14,ICA_best_dim_15,ICA_best_dim_16,ICA_best_dim_17,ICA_best_dim_18,ICA_best_dim_19
1,3026,T,Ok. So you’re going to be talking about - we’re going to be talking about speed. So what is speed?,Q,SK,0.559006445,-0.662965206,0.534134284,-1.321566867,-0.527544547,-0.651331989,-0.674176386,-0.423543282,0.609932698,0.46507874,0.575949144,0.570626344,-0.463872788,1.10064712,0.559900763,-0.806059287,0.411675933,0.562473787,-0.632684208
2,3026,T,"You all should probably be able to tell me that without even having to look at your book because you speed to school every day, right? ",P,EX,0.596381849,-0.719268791,0.583518462,0.809008443,-0.584924632,-0.776890883,-0.695915008,-0.507890319,0.667330965,0.512336291,0.621706377,0.606572301,-0.507102269,-1.538533948,0.606821693,-0.915091884,0.466296656,0.65506116,-0.64555695
3,3026,S,Nope. No. ,Ry,EX,0.061531451,-0.108374664,-3.571539559,0.179444819,-0.083263473,-0.089042719,-0.108807592,-0.019483885,0.069062657,0.044667119,0.076513263,0.092390022,-0.042370191,0.107647135,0.082210406,-0.105904869,-0.022776882,0.065479622,-0.081646803
4,3026,T,You don’t? Don’t you all ride the school bus? ,Q,EX,0.190632467,-0.185656594,0.174189539,0.220818828,-0.18198818,5.139666867,-0.182268052,-0.186877013,0.168539283,0.167060675,0.183073136,0.217642378,-0.169315694,0.331421309,0.181871971,-0.182209461,0.163290691,0.213143172,-0.186283553
5,3026,S,Yes. No. ,Ry,EX,0.122612271,-0.141221414,0.103646054,0.218890018,-0.102388618,-0.120447366,-0.148353061,-0.06221159,0.101975085,0.082701345,0.111566972,0.128370908,-0.069362687,0.179284599,0.098103958,-0.156631191,0.032508812,0.110603504,3.818428898
6,3026,T,Is speed involved in getting to school? ,Q,EX,0.44967757,-0.542852332,-2.490222331,0.666237494,-0.434719516,-0.519067298,-0.537882328,-0.334546353,0.477872741,0.372137013,0.451358852,0.479702781,-0.376781324,0.885475364,0.468110234,-0.641346111,0.317707216,0.453046345,-0.480460969
7,3026,S,Yeah. ,Ry,EX,0.055322503,-0.124252338,0.090007406,0.120711486,-0.062148545,-0.095207443,-0.122257118,-0.031068715,0.070698823,0.043229222,0.072034418,-3.903398186,-0.026165828,0.072045283,0.052276371,-0.11954318,0.014474142,0.075072419,-0.093935284
8,3026,T,"Yeah, what is speed? ",Q,SK,0.356290663,-0.463902957,0.353372357,0.522906099,-0.333904045,-0.43207823,-0.453034529,-0.257019589,0.388858765,0.289404215,0.363259153,-2.279508504,-0.27509702,0.723578834,0.353402465,-0.54652247,0.242903676,0.371178482,-0.394909834
9,3026,S,Movement. ,Rs,SK,0.117891146,-0.165742851,0.119375956,0.200318098,-0.149710139,-0.146124296,-0.199251649,-0.0730428,0.130680083,0.113614034,0.134405372,0.145466949,-0.081904802,0.21284363,0.121607916,2.909162212,0.037365972,0.168421244,-0.141707322
10,3026,T,"It’s movement, ok, ",Fy,SK,0.185790887,-0.219108671,0.184115292,0.25336331,-0.228184719,-0.20400773,-0.274003054,-0.156374915,0.195158698,0.190988107,0.198981817,0.224759962,-0.165375417,0.264956974,0.195610635,3.884833286,0.143194002,0.250072328,-0.216276352
11,3026,T,and what two things do we use to calculate speed? ,Q,SK,0.109003757,-0.120678234,0.110564296,0.117332703,-0.199083464,-0.157727706,-0.205015194,-0.15620165,0.16695794,0.107718261,0.12020059,0.172722936,-0.164977737,0.167664021,0.178549634,-0.16161806,0.092148203,-5.92550772,-0.180344603
